YEAR,MONTH,DAY,Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Wet Bulb Temperature at 2 Meters (C),Earth Skin Temperature (C),Temperature at 2 Meters Range (C),Temperature at 2 Meters Maximum (C),Temperature at 2 Meters Minimum (C)
2021,1,1,1.71,-0.59,0.56,1.68,6.88,4.9,-1.97
2021,1,2,-1.2,-3.6,-2.4,-1.43,8.36,4.14,-4.22
2021,1,3,-0.99,-3.11,-2.05,-1.38,9.63,5.44,-4.2
2021,1,4,-0.42,-2.85,-1.63,-0.81,7.92,4.8,-3.13
2021,1,5,-0.73,-4.93,-2.83,-2.05,9.27,5.2,-4.07
2021,1,6,-0.13,-4.82,-2.48,-0.56,9.77,5.94,-3.83
2021,1,7,-0.56,-2.75,-1.65,-0.94,2.81,1.12,-1.69
2021,1,8,-0.8,-3.15,-1.98,-1.08,3.37,0.94,-2.42
2021,1,9,-1.18,-1.93,-1.56,-1.85,4.59,0.58,-4.0
2021,1,10,-4.2,-5.45,-4.83,-5.32,11.38,2.08,-9.3
2021,1,11,-5.78,-7.53,-6.66,-6.79,12.77,1.92,-10.86
2021,1,12,-5.8,-7.45,-6.63,-7.0,13.77,2.19,-11.58
2021,1,13,-2.62,-3.85,-3.23,-3.47,12.37,4.87,-7.51
2021,1,14,-1.27,-3.0,-2.13,-1.78,12.21,6.28,-5.93
2021,1,15,0.51,-0.92,-0.2,0.01,9.3,6.9,-2.4
2021,1,16,0.91,-1.7,-0.39,-0.33,11.7,9.02,-2.68
2021,1,17,1.34,-3.03,-0.85,-0.3,10.99,8.48,-2.52
2021,1,18,2.13,1.69,1.91,1.33,10.08,9.05,-1.03
2021,1,19,2.97,0.48,1.73,2.41,12.11,10.83,-1.28
2021,1,20,3.59,3.57,3.58,3.15,7.4,6.37,-1.02
2021,1,21,8.22,7.01,7.61,8.09,5.69,10.83,5.15
2021,1,22,6.97,5.23,6.1,6.73,5.74,9.19,3.45
2021,1,23,6.43,5.19,5.81,6.44,6.79,9.94,3.15
2021,1,24,7.76,5.11,6.44,7.73,5.8,10.82,5.02
2021,1,25,8.97,8.1,8.53,8.72,7.04,12.94,5.89
2021,1,26,9.59,8.63,9.11,9.61,7.91,14.35,6.44
2021,1,27,10.15,8.33,9.24,9.94,7.99,15.98,7.99
2021,1,28,9.45,7.9,8.68,8.59,9.28,15.3,6.02
2021,1,29,7.11,6.57,6.83,7.51,7.05,11.45,4.39
2021,1,30,8.48,5.8,7.15,8.49,6.59,11.65,5.06
2021,1,31,7.67,6.44,7.05,7.54,6.98,10.74,3.76
2021,2,1,8.69,6.56,7.62,8.84,8.84,14.83,5.98
2021,2,2,8.91,7.01,7.96,9.03,6.26,13.28,7.02
2021,2,3,9.08,7.31,8.2,9.14,6.9,13.27,6.37
2021,2,4,9.44,6.94,8.19,8.98,8.22,14.69,6.48
2021,2,5,9.98,5.56,7.77,9.82,12.48,17.22,4.73
2021,2,6,7.12,5.57,6.34,7.08,5.35,9.76,4.4
2021,2,7,4.57,1.08,2.82,5.13,10.3,9.71,-0.6
2021,2,8,6.33,4.37,5.35,6.42,5.23,8.57,3.33
2021,2,9,6.37,5.57,5.97,6.16,4.31,8.99,4.69
2021,2,10,7.44,4.53,5.98,7.41,9.03,12.48,3.45
2021,2,11,8.63,7.84,8.24,8.41,9.89,13.18,3.29
2021,2,12,8.59,6.02,7.31,8.46,9.35,12.68,3.33
2021,2,13,6.53,2.79,4.65,5.94,11.07,13.31,2.24
2021,2,14,6.9,2.55,4.72,6.52,15.47,15.35,-0.12
2021,2,15,8.35,4.73,6.54,8.61,10.75,15.19,4.44
2021,2,16,7.89,3.44,5.66,7.34,11.5,13.83,2.33
2021,2,17,9.25,4.41,6.83,7.54,14.12,16.94,2.8
2021,2,18,8.49,3.55,6.01,7.19,11.58,15.29,3.71
2021,2,19,8.37,3.06,5.72,7.33,15.89,17.05,1.15
2021,2,20,9.19,3.02,6.11,8.79,15.27,18.09,2.83
2021,2,21,7.87,5.65,6.76,7.64,5.51,10.85,5.34
2021,2,22,4.8,1.92,3.37,4.77,7.99,9.82,1.83
2021,2,23,5.83,2.1,3.97,5.46,14.62,13.37,-1.26
2021,2,24,7.43,4.1,5.76,7.51,12.63,14.92,2.28
2021,2,25,8.64,4.98,6.81,8.87,11.54,15.38,3.84
2021,2,26,9.13,4.68,6.9,9.16,12.17,16.01,3.83
2021,2,27,9.49,4.29,6.89,9.18,16.29,18.53,2.24
2021,2,28,7.6,3.37,5.48,7.87,12.62,14.25,1.62
2021,3,1,8.29,4.87,6.58,8.52,7.96,13.32,5.36
2021,3,2,8.84,5.14,6.99,9.2,9.95,14.84,4.89
2021,3,3,8.54,4.9,6.72,8.75,10.66,14.76,4.09
2021,3,4,8.54,5.28,6.91,9.05,9.58,14.51,4.94
2021,3,5,8.3,3.76,6.03,8.55,9.94,14.58,4.65
2021,3,6,8.55,3.73,6.14,9.08,11.26,15.11,3.85
2021,3,7,8.06,3.48,5.76,8.07,8.66,12.99,4.33
2021,3,8,6.41,3.15,4.78,6.34,8.46,11.45,2.99
2021,3,9,5.31,0.69,3.01,5.65,13.06,12.39,-0.67
2021,3,10,6.19,-1.15,2.51,5.8,14.66,13.55,-1.11
2021,3,11,9.28,4.48,6.88,9.05,14.71,16.32,1.61
2021,3,12,8.39,3.97,6.18,8.47,11.66,14.11,2.44
2021,3,13,7.11,-0.23,3.44,6.73,13.37,14.9,1.53
2021,3,14,6.62,2.13,4.38,7.03,14.99,14.62,-0.38
2021,3,15,7.73,1.17,4.44,8.13,17.42,16.7,-0.72
2021,3,16,9.04,2.32,5.68,9.4,17.28,18.12,0.84
2021,3,17,9.28,2.33,5.8,9.53,15.2,17.92,2.73
2021,3,18,5.57,-1.99,1.79,6.09,10.84,11.66,0.83
2021,3,19,4.37,0.35,2.36,4.48,10.9,10.33,-0.57
2021,3,20,4.15,-4.2,-0.02,4.65,12.52,11.54,-0.98
2021,3,21,4.9,-1.85,1.52,5.31,17.26,14.15,-3.1
2021,3,22,6.72,-0.2,3.26,6.98,17.74,16.21,-1.54
2021,3,23,8.0,0.03,4.01,7.67,18.27,16.69,-1.59
2021,3,24,11.06,1.63,6.34,9.38,15.21,18.47,3.26
2021,3,25,11.73,4.23,7.98,10.85,13.84,19.08,5.23
2021,3,26,11.1,4.71,7.9,10.81,12.8,18.21,5.4
2021,3,27,11.0,4.53,7.76,11.65,15.23,18.94,3.71
2021,3,28,11.26,4.28,7.76,11.62,13.63,18.59,4.95
2021,3,29,11.62,3.33,7.48,11.51,13.26,19.68,6.43
2021,3,30,12.8,3.08,7.94,12.71,14.67,21.36,6.69
2021,3,31,13.27,1.73,7.5,13.33,16.77,22.09,5.32
